px_R,px_L,x_R,x_L
-2.3869e-24,-2.5377e-24,2.4739e+05,40362
-2.303e-24,-2.4496e-25,2.5529e+05,88072
-2.2828e-24,-6.5075e-25,2.5034e+05,68442
-2.3483e-24,-1.06e-24,2.5184e+05,60772
-2.2683e-24,-2.1232e-24,2.4967e+05,2.0813e+05
-2.5868e-24,2.2987e-24,2.5852e+05,2.8231e+05
-2.309e-24,-1.9107e-24,2.5551e+05,50356
-2.3691e-24,-1.9604e-24,2.5121e+05,2.0853e+05
-2.569e-24,-2.0508e-24,2.4363e+05,48308
-2.316e-24,-3.8671e-25,2.5142e+05,75413
-2.6127e-24,-7.3326e-25,2.4209e+05,66641
-2.5384e-24,2.5296e-24,2.4499e+05,2.8026e+05
-2.5312e-24,-6.9235e-25,2.4531e+05,67217
-2.5426e-24,-1.5205e-24,2.4447e+05,55125
-2.2322e-24,-1.2822e-24,2.5056e+05,57729
-2.6223e-24,2.6678e-24,2.439e+05,3.0058e+05
-2.5411e-24,-4.8636e-25,2.4423e+05,71111
-2.336e-24,-6.3587e-25,2.5129e+05,68826
-2.3129e-24,-7.3681e-25,2.5113e+05,66630
-2.6207e-24,-1.7838e-24,2.4309e+05,52203
-2.2486e-24,-3.5865e-24,2.5073e+05,5227.2
-2.8458e-24,-2.2065e-24,2.3597e+05,45379
-2.4629e-24,-1.2581e-24,2.572e+05,58020
-2.6337e-24,-2.2446e-24,2.4163e+05,2.0691e+05
-2.3193e-24,-7.6938e-25,2.5127e+05,65912
-2.4698e-24,-2.4751e-24,2.5729e+05,41406
-2.6823e-24,-7.6049e-25,2.404e+05,65892
-2.3002e-24,-2.0104e-24,2.5086e+05,48922
-2.5851e-24,-2.2975e-24,2.4284e+05,43935
-2.3054e-24,-7.5497e-25,2.487e+05,65531
-2.3827e-24,-7.3849e-25,2.5068e+05,66286
-2.2435e-24,-2.2034e-24,2.5125e+05,45386
-2.5713e-24,-1.7159e-24,2.4299e+05,53048
-2.3603e-24,2.0049e-24,2.5296e+05,2.6101e+05
-2.8335e-24,-2.7279e-24,2.3657e+05,2.0281e+05
-2.7786e-24,-8.2031e-25,2.3782e+05,64812
-2.618e-24,2.715e-24,2.4161e+05,2.863e+05
-2.7072e-24,2.6109e-24,2.396e+05,2.8342e+05
-2.8374e-24,-8.3295e-25,2.3641e+05,64472
-2.4942e-24,1.5838e-24,2.4539e+05,2.5288e+05
-2.7393e-24,-1.8139e-24,2.388e+05,51769
-2.4072e-24,-1.6087e-24,2.4682e+05,54258
-2.3718e-24,-9.4804e-25,2.5094e+05,62155
-2.866e-24,-7.7137e-25,2.3508e+05,65916
-2.3385e-24,2.1318e-24,2.5083e+05,2.6668e+05
-2.2303e-24,-2.2881e-24,2.5154e+05,44144
-2.3844e-24,-6.7901e-25,2.5046e+05,67701
-2.7224e-24,2.4175e-24,2.3928e+05,3.1e+05
-2.5089e-24,-7.7861e-25,2.4542e+05,65255
-2.7851e-24,1.4533e-24,2.3763e+05,2.4888e+05
-2.5741e-24,-3.6622e-24,2.4278e+05,13194
-2.8026e-24,-8.9301e-25,2.3726e+05,62847
-2.2298e-24,1.6307e-24,2.5078e+05,2.5377e+05
-2.3739e-24,2.4408e-24,2.4878e+05,3.1752e+05
-2.7986e-24,2.4322e-24,2.373e+05,2.7476e+05
-2.2913e-24,-9.323e-25,2.5103e+05,62321
-2.4831e-24,5.2127e-25,2.4505e+05,1.1076e+05
-2.5642e-24,-3.6119e-24,2.4308e+05,18716
-2.8169e-24,-1.104e-24,2.3675e+05,60284
-2.4478e-24,2.5713e-24,2.4567e+05,2.8126e+05
-2.4665e-24,-1.1123e-24,2.4598e+05,59969
-2.816e-24,-2.246e-24,2.3564e+05,44773
-2.6271e-24,-9.286e-25,2.4125e+05,62377
-2.6028e-24,-1.4495e-24,2.434e+05,55935
-2.2782e-24,-1.3e-24,2.4948e+05,2.1717e+05
-2.305e-24,-1.1224e-24,2.4864e+05,59847
-2.3702e-24,-3.1482e-25,2.5287e+05,84770
-2.4669e-24,-3.8056e-25,2.4538e+05,74911
-2.2772e-24,-1.0625e-24,2.4934e+05,60951
-2.6586e-24,6.3761e-25,2.4052e+05,2.3625e+05
-2.8472e-24,-1.8809e-24,2.3661e+05,2.1082e+05
-2.8484e-24,1.2651e-24,2.3657e+05,2.4459e+05
-2.6018e-24,-6.3017e-25,2.4189e+05,68983
-2.8858e-24,2.7181e-24,2.3528e+05,2.9913e+05
-2.411e-24,2.4361e-24,2.4669e+05,3.1681e+05
-2.6833e-24,-1.0817e-24,2.401e+05,60572
-2.4243e-24,-1.1261e-24,2.4661e+05,59759
-2.2962e-24,-4.5374e-25,2.5199e+05,79610
-2.3306e-24,-2.3856e-24,2.5439e+05,42771
-2.5095e-24,-1.3891e-24,2.4473e+05,2.1637e+05
-2.7235e-24,-2.4277e-24,2.3896e+05,2.0583e+05
-3.0628e-24,9.9248e-25,2.3094e+05,1.2692e+05
-2.4814e-24,2.637e-24,2.4515e+05,3.0157e+05
-2.8316e-24,-2.0111e-24,2.37e+05,48968
-2.4178e-24,2.4528e-24,2.4599e+05,2.8614e+05
-2.1755e-24,-1.073e-24,2.5185e+05,60810
-2.5172e-24,-3.4624e-25,2.4409e+05,2.2676e+05
-2.1787e-24,1.2392e-24,2.5154e+05,2.4399e+05
-2.9296e-24,2.7133e-24,2.3326e+05,2.8843e+05
-2.7215e-24,-1.1058e-25,2.3913e+05,2.2585e+05
-2.7843e-24,-1.1819e-24,2.3625e+05,59029
-2.7715e-24,-1.8697e-24,2.3831e+05,2.1086e+05
-2.9736e-24,-1.3605e-24,2.3263e+05,56960
-2.9889e-24,-1.4198e-24,2.3217e+05,56323
-2.7881e-24,1.3376e-24,2.3628e+05,2.4518e+05
-2.3809e-24,2.696e-24,2.5252e+05,2.8604e+05
-3.0721e-24,-2.207e-24,2.3072e+05,45633
-2.749e-24,-3.5432e-24,2.3901e+05,3942.5
-3.0762e-24,-1.812e-24,2.3065e+05,51922
-2.9045e-24,-9.8989e-25,2.3369e+05,61757
-2.893e-24,2.4975e-24,2.3375e+05,3.0429e+05
-2.4902e-24,2.4076e-24,2.4458e+05,2.7419e+05
-2.8498e-24,-3.2799e-24,2.3481e+05,26464
-3.0667e-24,2.6976e-24,2.3104e+05,2.8605e+05
-3.1149e-24,-3.0658e-24,2.3e+05,30658
-2.9006e-24,-1.9576e-24,2.3353e+05,2.0968e+05
-3.1463e-24,-9.1798e-25,2.2907e+05,2.2071e+05
-3.0843e-24,2.5628e-24,2.3031e+05,2.8106e+05
-3.1163e-24,-1.6926e-24,2.3008e+05,53373
-3.0791e-24,-1.7929e-24,2.3032e+05,2.1198e+05
-2.5491e-24,2.4044e-24,2.4264e+05,2.7451e+05
-3.1976e-24,1.1475e-24,2.2772e+05,1.6244e+05
-2.5408e-24,-1.4743e-24,2.4343e+05,2.159e+05
-2.8225e-24,-2.61e-24,2.3717e+05,39224
-2.7748e-24,-2.6951e-24,2.3758e+05,37417
-3.2151e-24,1.9467e-24,2.2708e+05,2.5979e+05
-2.7626e-24,2.4301e-24,2.3794e+05,3.0689e+05
-2.4048e-24,1.5556e-24,2.4665e+05,2.5218e+05
-2.2727e-24,1.2223e-24,2.5241e+05,1.335e+05
-2.5502e-24,-2.3384e-24,2.43e+05,43587
-3.0841e-24,-1.7016e-24,2.3034e+05,53307
-2.357e-24,2.593e-24,2.5346e+05,2.8307e+05
-2.7963e-24,-6.6636e-25,2.3555e+05,68144
-2.8708e-24,1.8325e-24,2.359e+05,2.5776e+05
-3.1715e-24,1.0393e-24,2.2828e+05,1.4695e+05
-2.6503e-24,1.4511e-24,2.4066e+05,2.4917e+05
-3.3498e-24,-2.357e-24,2.2496e+05,2.0649e+05
-3.5834e-24,1.448e-24,2.1922e+05,2.489e+05
-2.9266e-24,-3.0699e-24,2.3311e+05,30620
-3.1228e-24,4.7813e-25,2.2922e+05,1.1002e+05
-2.2421e-24,-2.707e-24,2.5216e+05,37162
-3.4614e-24,2.7917e-24,2.2235e+05,2.9669e+05
-2.1958e-24,-2.1589e-24,2.5078e+05,46786
-3.5112e-24,-3.5523e-24,2.2136e+05,20366
-2.8909e-24,-2.6e-24,2.3361e+05,39399
-2.7991e-24,-4.1152e-25,2.3693e+05,81801
-2.2439e-24,5.2321e-24,2.498e+05,2.6036e+05
-2.6171e-24,-4.2651e-25,2.414e+05,77617
-3.378e-24,4.5432e-24,2.244e+05,2.5791e+05
-2.3872e-24,1.2376e-24,2.5236e+05,2.4378e+05
-3.3595e-24,2.0997e-24,2.2496e+05,2.6555e+05
-3.5358e-24,2.6301e-24,2.2048e+05,2.8392e+05
-2.921e-24,-2.7865e-24,2.3331e+05,2.0214e+05
-2.1364e-24,6.3585e-25,2.5376e+05,2.3071e+05
-2.2582e-24,2.8097e-24,2.5661e+05,2.9569e+05
-3.5736e-24,4.1132e-25,2.1945e+05,2.3383e+05
-3.5394e-24,2.1265e-24,2.2023e+05,2.667e+05
-3.4753e-24,8.9854e-25,2.2204e+05,2.3283e+05
-3.0344e-24,-1.9089e-24,2.3151e+05,2.1048e+05
-2.8765e-24,-3.5497e-24,2.3385e+05,4096.8
-3.4709e-24,-9.9617e-25,2.2223e+05,2.2014e+05
-2.8895e-24,-2.6939e-24,2.3364e+05,37472
-2.5426e-24,2.4593e-24,2.4364e+05,3.1289e+05
-2.9045e-24,6.1105e-24,2.3395e+05,2.6235e+05
-3.0823e-24,-3.0222e-24,2.2988e+05,1.9702e+05
-3.0903e-24,1.0443e-24,2.2969e+05,1.5241e+05
-2.2972e-24,-1.0402e-24,2.4857e+05,2.1969e+05
-3.0963e-24,2.7079e-24,2.2949e+05,2.8743e+05
-3.0979e-24,2.4615e-24,2.2957e+05,3.1583e+05
-3.5658e-24,-2.7082e-24,2.197e+05,37203
-3.5872e-24,-3.9331e-25,2.1826e+05,75307
-3.1956e-24,3.9136e-25,2.2907e+05,2.3363e+05
-3.8855e-24,1.1266e-24,2.1286e+05,2.4204e+05
-3.1849e-24,-4.5056e-25,2.2749e+05,80035
-2.7078e-24,-4.0062e-25,2.3924e+05,72967
-3.0347e-24,-7.062e-25,2.3128e+05,67266
-3.0625e-24,-1.8594e-24,2.3008e+05,51289
