px_R,px_L,x_R,x_L
2.5235e-24,-2.6129e-24,1.5991e+05,7130.8
2.4723e-24,-2.5695e-24,1.5725e+05,13347
2.5166e-24,-2.6124e-24,1.6104e+05,4859.6
2.5186e-24,-2.6211e-24,1.5945e+05,8846
2.4722e-24,-2.6192e-24,1.577e+05,8748.3
2.5239e-24,-2.6211e-24,1.6387e+05,7960
2.508e-24,-2.5933e-24,1.5988e+05,11986
2.4859e-24,-2.5727e-24,1.5839e+05,12738
2.4997e-24,-2.5959e-24,1.6565e+05,12033
2.5112e-24,-2.5766e-24,1.5933e+05,15304
2.5024e-24,-2.5845e-24,1.6003e+05,11948
2.4348e-24,-2.5716e-24,1.5589e+05,13005
2.4624e-24,-2.6176e-24,1.5586e+05,9649.1
2.5188e-24,-2.6277e-24,1.6236e+05,8279.3
2.5042e-24,-2.553e-24,1.5981e+05,14611
2.5e-24,-2.587e-24,1.5894e+05,11608
2.5114e-24,-2.6086e-24,1.6255e+05,6153
2.4928e-24,-2.5322e-24,1.6522e+05,18667
2.4481e-24,-2.6169e-24,1.5558e+05,6446
2.4819e-24,-2.6008e-24,1.5463e+05,12202
2.4536e-24,-2.6321e-24,1.5481e+05,9193.1
2.4582e-24,-2.5732e-24,1.5798e+05,13633
2.5009e-24,-2.6447e-24,1.6138e+05,7207
2.5249e-24,-2.6306e-24,1.6255e+05,6993.1
2.5069e-24,-2.5423e-24,1.6052e+05,18550
2.4649e-24,-2.6404e-24,1.5472e+05,8329.6
2.5057e-24,-2.6127e-24,1.5978e+05,12184
2.5087e-24,-2.5783e-24,1.6505e+05,13664
2.4503e-24,-2.6345e-24,1.5598e+05,4046.6
2.5109e-24,-2.592e-24,1.6133e+05,13301
2.4833e-24,-2.6173e-24,1.6206e+05,10532
2.4727e-24,-2.6378e-24,1.5863e+05,4672.2
2.4271e-24,-2.593e-24,1.5728e+05,15773
2.4676e-24,-2.6215e-24,1.6458e+05,11050
2.5107e-24,-2.575e-24,1.6281e+05,14563
2.4849e-24,-2.6104e-24,1.6198e+05,11881
2.4926e-24,-2.6216e-24,1.6056e+05,10232
2.4665e-24,-2.641e-24,1.654e+05,8909.8
2.4929e-24,-2.6228e-24,1.6316e+05,10475
2.4934e-24,-2.5904e-24,1.6078e+05,16328
2.4903e-24,-2.6378e-24,1.6626e+05,8080.1
2.4643e-24,-2.5702e-24,1.5841e+05,17321
2.4957e-24,-2.6166e-24,1.5948e+05,11642
2.4883e-24,-2.6263e-24,1.612e+05,10176
2.4894e-24,-2.6189e-24,1.6419e+05,15893
2.4933e-24,-2.6114e-24,1.6003e+05,16703
2.4924e-24,-2.6095e-24,1.621e+05,12511
2.5214e-24,-2.6335e-24,1.6805e+05,11403
2.4912e-24,-2.5955e-24,1.6012e+05,13767
2.5139e-24,-2.6289e-24,1.6351e+05,10346
2.4957e-24,-2.6265e-24,1.6258e+05,12102
2.49e-24,-2.6494e-24,1.6368e+05,6458
2.4651e-24,-2.6112e-24,1.5828e+05,15928
2.5113e-24,-2.6119e-24,1.6331e+05,14195
2.4947e-24,-2.6275e-24,1.5977e+05,10273
2.4597e-24,-2.6481e-24,1.6203e+05,7202.1
2.4739e-24,-2.5927e-24,1.5888e+05,14333
2.4776e-24,-2.6107e-24,1.5957e+05,12738
2.4715e-24,-2.6049e-24,1.6256e+05,12840
2.4549e-24,-2.5943e-24,1.6463e+05,14458
2.4863e-24,-2.6567e-24,1.5987e+05,7915.6
2.4459e-24,-2.63e-24,1.6501e+05,12348
2.4805e-24,-2.6496e-24,1.635e+05,9654.9
2.479e-24,-2.6171e-24,1.6381e+05,12145
2.4601e-24,-2.6037e-24,1.6436e+05,12948
2.4704e-24,-2.6389e-24,1.617e+05,9826.1
2.5071e-24,-2.605e-24,1.6792e+05,14497
2.4695e-24,-2.6477e-24,1.6348e+05,5723.9
2.4574e-24,-2.6026e-24,1.6088e+05,17063
2.4643e-24,-2.5932e-24,1.6032e+05,19824
2.5175e-24,-2.641e-24,1.6862e+05,12667
2.4702e-24,-2.6171e-24,1.6286e+05,17291
2.4737e-24,-2.6401e-24,1.6631e+05,15071
2.4082e-24,-2.6797e-24,1.5717e+05,11026
2.4596e-24,-2.6565e-24,1.6537e+05,11702
2.4711e-24,-2.6808e-24,1.602e+05,10645
2.4088e-24,-2.6558e-24,1.5717e+05,15288
2.4634e-24,-2.6156e-24,1.656e+05,13903
2.4736e-24,-2.6323e-24,1.6105e+05,14814
2.4369e-24,-2.6369e-24,1.6469e+05,15710
2.4477e-24,-2.6015e-24,1.6195e+05,19468
2.4588e-24,-2.6426e-24,1.6277e+05,12759
2.4452e-24,-2.6612e-24,1.6144e+05,10700
2.434e-24,-2.66e-24,1.6417e+05,15573
2.4516e-24,-2.6566e-24,1.5863e+05,15491
2.4372e-24,-2.668e-24,1.6624e+05,10946
2.4324e-24,-2.6458e-24,1.6597e+05,16453
2.4285e-24,-2.6445e-24,1.6458e+05,15713
2.4286e-24,-2.6006e-24,1.6547e+05,20213
2.4398e-24,-2.6375e-24,1.6625e+05,12664
2.4036e-24,-2.6321e-24,1.644e+05,14969
2.4326e-24,-2.6148e-24,1.6567e+05,13826
2.4415e-24,-2.6464e-24,1.623e+05,12791
2.4632e-24,-2.6308e-24,1.6246e+05,14261
2.5122e-24,-2.6986e-24,1.7033e+05,8232.1
2.4416e-24,-2.6368e-24,1.6124e+05,13706
2.4323e-24,-2.6612e-24,1.6096e+05,14330
2.4516e-24,-2.6509e-24,1.6283e+05,14464
2.4389e-24,-2.6887e-24,1.657e+05,11370
2.4515e-24,-2.6495e-24,1.6347e+05,13643
2.4278e-24,-2.6853e-24,1.659e+05,10051
2.4027e-24,-2.6391e-24,1.6475e+05,16883
2.4281e-24,-2.6418e-24,1.6604e+05,16926
2.4544e-24,-2.6179e-24,1.6237e+05,18597
2.5188e-24,-2.626e-24,1.7244e+05,17870
2.4233e-24,-2.6653e-24,1.659e+05,15882
2.418e-24,-2.6222e-24,1.6167e+05,19957
2.385e-24,-2.702e-24,1.6394e+05,8867.9
2.3933e-24,-2.6103e-24,1.6488e+05,18610
2.4122e-24,-2.6736e-24,1.6597e+05,15653
2.4071e-24,-2.6595e-24,1.6315e+05,12591
2.3945e-24,-2.6605e-24,1.6401e+05,16075
2.442e-24,-2.6816e-24,1.6752e+05,15132
2.3988e-24,-2.6548e-24,1.6497e+05,12813
2.4588e-24,-2.6623e-24,1.6776e+05,16210
2.4299e-24,-2.6059e-24,1.6296e+05,21099
2.4124e-24,-2.6909e-24,1.6232e+05,8613.6
2.4279e-24,-2.644e-24,1.5999e+05,16903
2.3883e-24,-2.6483e-24,1.639e+05,13348
2.4345e-24,-2.6107e-24,1.62e+05,22286
2.3986e-24,-2.6727e-24,1.6504e+05,16531
2.4448e-24,-2.6326e-24,1.6771e+05,20487
2.4507e-24,-2.6254e-24,1.6747e+05,18486
2.3923e-24,-2.5876e-24,1.6501e+05,23756
2.4895e-24,-2.7052e-24,1.7008e+05,14183
2.4178e-24,-2.6278e-24,1.6241e+05,19833
2.4034e-24,-2.6456e-24,1.6551e+05,17386
2.4157e-24,-2.723e-24,1.6324e+05,8449.1
2.4285e-24,-2.6869e-24,1.6067e+05,14445
2.4129e-24,-2.6777e-24,1.6046e+05,13051
2.3805e-24,-2.7038e-24,1.6491e+05,14920
2.3923e-24,-2.6328e-24,1.6535e+05,19594
2.4286e-24,-2.6803e-24,1.6753e+05,12851
2.3761e-24,-2.7088e-24,1.6443e+05,15295
2.4545e-24,-2.6745e-24,1.6863e+05,12679
2.3806e-24,-2.6423e-24,1.6317e+05,18099
2.3975e-24,-2.6829e-24,1.6169e+05,12790
2.3737e-24,-2.6902e-24,1.6413e+05,15995
2.3883e-24,-2.652e-24,1.6234e+05,17398
2.4669e-24,-2.6276e-24,1.6969e+05,20701
2.3945e-24,-2.7106e-24,1.6569e+05,10909
2.4071e-24,-2.6946e-24,1.6673e+05,11961
2.4427e-24,-2.6729e-24,1.6793e+05,12475
2.4663e-24,-2.6114e-24,1.7059e+05,22684
2.419e-24,-2.7164e-24,1.6716e+05,13731
2.4135e-24,-2.67e-24,1.6674e+05,16920
2.3955e-24,-2.7395e-24,1.6081e+05,8704.6
2.428e-24,-2.7201e-24,1.6738e+05,14569
2.4633e-24,-2.7121e-24,1.6849e+05,15853
2.4268e-24,-2.645e-24,1.6748e+05,21864
2.4613e-24,-2.7036e-24,1.7023e+05,13207
2.4305e-24,-2.7038e-24,1.6781e+05,13923
2.3679e-24,-2.7545e-24,1.6368e+05,7864.9
2.4704e-24,-2.7053e-24,1.6976e+05,15941
2.4614e-24,-2.6675e-24,1.6946e+05,17082
2.4245e-24,-2.6557e-24,1.693e+05,20031
2.4086e-24,-2.7191e-24,1.6719e+05,14636
2.4291e-24,-2.6593e-24,1.7109e+05,20422
2.4196e-24,-2.6348e-24,1.676e+05,22416
2.444e-24,-2.6098e-24,1.6941e+05,25117
2.4169e-24,-2.6619e-24,1.6755e+05,20689
2.3354e-24,-2.7112e-24,1.6467e+05,12076
2.4165e-24,-2.6936e-24,1.7134e+05,16320
2.349e-24,-2.6601e-24,1.6511e+05,17633
2.4466e-24,-2.6554e-24,1.6859e+05,20572
2.3717e-24,-2.7029e-24,1.6583e+05,15909
2.4279e-24,-2.6507e-24,1.7017e+05,19936
2.3771e-24,-2.6327e-24,1.658e+05,23069
2.3608e-24,-2.715e-24,1.6323e+05,15669
2.3743e-24,-2.6747e-24,1.6113e+05,17221
2.3502e-24,-2.6699e-24,1.6493e+05,18172
2.4208e-24,-2.6862e-24,1.6756e+05,17014
2.3568e-24,-2.6668e-24,1.6181e+05,19258
2.3829e-24,-2.7434e-24,1.6666e+05,14913
2.4317e-24,-2.662e-24,1.684e+05,18036
2.4306e-24,-2.6924e-24,1.7049e+05,16942
2.3688e-24,-2.6795e-24,1.6549e+05,20063
2.417e-24,-2.6823e-24,1.7046e+05,19564
2.4377e-24,-2.6737e-24,1.7208e+05,17452
2.3993e-24,-2.6784e-24,1.6728e+05,21205
2.4144e-24,-2.6637e-24,1.6942e+05,18570
2.3328e-24,-2.664e-24,1.6194e+05,18191
2.393e-24,-2.6607e-24,1.6983e+05,21758
2.3254e-24,-2.6796e-24,1.6318e+05,21073
2.3976e-24,-2.6808e-24,1.7094e+05,17188
2.3741e-24,-2.6769e-24,1.6689e+05,21089
2.3681e-24,-2.6878e-24,1.6624e+05,17083
2.3103e-24,-2.7376e-24,1.635e+05,14800
2.3492e-24,-2.6376e-24,1.6574e+05,23506
2.4043e-24,-2.7384e-24,1.7003e+05,15210
2.3435e-24,-2.6465e-24,1.62e+05,22222
2.4297e-24,-2.7286e-24,1.7276e+05,14045
